Title,SKU,Image_File,Image_Instructions,Image_Src
Akwa LED 5W White & Blue Light,LED0010,akwa_img-041.jpg,From Akwa PDF - LED Light,
Akwa LED 5W Multi Colour Light,LED0011,akwa_img-042.jpg,From Akwa PDF - LED Light,
Akwa Dophin Clamp LED Mini Tank,LED0105,akwa_img-043.jpg,From Akwa PDF - LED Light,
Akwa Dophin LED-1088 RGB 35cm 12W,LED1088R,akwa_img-044.jpg,From Akwa PDF - LED Light,
Akwa Dophin LED-1089 BioLux 45cm 17W,LED1089B,akwa_img-045.jpg,From Akwa PDF - LED Light,
Akwa Dophin LED-1089 Marine 45cm 17W,LED1089M,akwa_img-049.jpg,From Akwa PDF - LED Light,
Akwa Dophin LED-1089 RGB 45cm 17W,LED1089R,akwa_img-053.jpg,From Akwa PDF - LED Light,
Akwa Dophin LED-1090 Marine 60cm 20W,LED1090M,akwa_img-057.jpg,From Akwa PDF - LED Light,
Akwa Dophin LED-1090 RGB 60cm 20W,LED1090R,akwa_img-059.jpg,From Akwa PDF - LED Light,
Akwa Fullgain Flat LED 10W 30cm,FG0300,akwa_img-061.jpg,From Akwa PDF - LED Light,
Akwa Fullgain Flat LED 14W 45cm,FG0301,akwa_img-062.jpg,From Akwa PDF - LED Light,
Akwa Fullgain Flat LED 18W 60cm,FG0302,akwa_img-063.jpg,From Akwa PDF - LED Light,
Akwa Fullgain Flat LED 22W 75cm,FG0303,akwa_img-064.jpg,From Akwa PDF - LED Light,
Akwa Fullgain Flat LED 26W 90cm,FG0304,akwa_img-065.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-200 White 4W,LED4200W,akwa_img-066.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-200 Blue White 4W,LED4200BW,akwa_img-067.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-300 White 6W,LED4300W,akwa_img-068.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-300 Blue White 6W,LED4300BW,akwa_img-069.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-400 White 7.5W,LED4400W,akwa_img-070.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-400 Blue White 7.5W,LED4400BW,akwa_img-071.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-500 White 8W,LED4500W,akwa_img-072.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-500 Blue White 8W,LED4500BW,akwa_img-073.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-600 White 10W,LED4600W,akwa_img-074.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-600 Blue White 10W,LED4600BW,akwa_img-075.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-800 White 13.6W,LED4800W,akwa_img-076.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-800 Blue White 13.6W,LED4800BW,akwa_img-077.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-1000 White 16.5W,LED41000W,akwa_img-078.jpg,From Akwa PDF - LED Light,
Akwa Ocean Max LED T4-1000 Blue White 16.5W,LED41000BW,akwa_img-079.jpg,From Akwa PDF - LED Light,
Akwa Dophin 25W Heater,HTR0202,akwa_img-080.jpg,From Akwa PDF - Heater,
Akwa Dophin 50W Heater,HTR0205,akwa_img-081.jpg,From Akwa PDF - Heater,
Akwa Dophin 100W Heater,HTR0210,akwa_img-082.jpg,From Akwa PDF - Heater,
Akwa Dophin 150W Heater 300mm,HTR0215,akwa_img-083.jpg,From Akwa PDF - Heater,
Akwa Dophin 200W Heater 310mm,HTR0220,akwa_img-084.jpg,From Akwa PDF - Heater,
Akwa Dophin 300W Heater 360mm,HTR0230,akwa_img-085.jpg,From Akwa PDF - Heater,
Akwa Dophin 500W Heater,HTR0250,akwa_img-086.jpg,From Akwa PDF - Heater,
Akwa SunSun XRB-600W Heater,HTR0600,akwa_img-087.jpg,From Akwa PDF - Heater,
Akwa SunSun XRB-1000W Heater,HTR1000,akwa_img-088.jpg,From Akwa PDF - Heater,
Akwa AC/DC Air Pump APQ-505 510L/H,APS0505,akwa_img-089.jpg,From Akwa PDF - Air Pump,
Akwa AC/DC Air Pump APQ-510 1020L/H,APS0510,akwa_img-090.jpg,From Akwa PDF - Air Pump,
Akwa AC/DC Air Pump JT-203S 240L/H,APS0203,akwa_img-091.jpg,From Akwa PDF - Air Pump,
Akwa Gravel Cleaner Small 250mm,GRC0001,akwa_img-092.jpg,From Akwa PDF - Cleaner,
Akwa Gravel Cleaner Large 350mm,GRC0002,akwa_img-093.jpg,From Akwa PDF - Cleaner,
Akwa Dophin Magnetic Cleaner Small,MAG0001,akwa_img-094.jpg,From Akwa PDF - Cleaner,
Akwa Dophin Magnetic Cleaner Medium,MAG0002,akwa_img-095.jpg,From Akwa PDF - Cleaner,
Akwa Dophin Magnetic Cleaner Large,MAG0003,akwa_img-096.jpg,From Akwa PDF - Cleaner,
Akwa Dophin Scraper MC-101,SCR0001,akwa_img-097.jpg,From Akwa PDF - Scraper,
Akwa Activated Carbon 500ml,AFM0102,akwa_img-098.jpg,From Akwa PDF - Filter Media,
Akwa Activated Carbon 1L,AFM0103,akwa_img-099.jpg,From Akwa PDF - Filter Media,
Akwa Ceramic Noodles 500ml,AFM0105,akwa_img-100.jpg,From Akwa PDF - Filter Media,
Akwa Ceramic Noodles 1L,AFM0106,akwa_img-101.jpg,From Akwa PDF - Filter Media,
Akwa Zeolite Ammonia Remover 500ml,AFM0110,akwa_img-102.jpg,From Akwa PDF - Filter Media,
Akwa Zeolite Ammonia Remover 1L,AFM0111,akwa_img-103.jpg,From Akwa PDF - Filter Media,
Akwa Dophin Mini Tank GT-8003 12L,AQD8003,akwa_img-104.jpg,From Akwa PDF - Tank,
